"Symbol","Description","Sector","Industry","Same Sub-Industry As","Exchange","Price","Average Volume (10 Day)"
"XAIR","Beyond Air Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$0.18","5,254,740"
"ABP","ABPRO Holdings Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.19","4,391,430"
"PCSA","Processa Pharmaceuticals Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$0.19","25,599,770"
"IXHL","Incannex Healthcare Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$0.21","17,613,730"
"NUWE","Nuwellis Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$0.22","5,635,240"
"VTAK","Catheter Precision Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NYS","$0.23","2,048,690"
"DHAI","DIH Holding US Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$0.23","11,113,190"
"ADAP","Adaptimmune Therapeutics PLC","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.24","649,830"
"CLDI","Calidi Biotherapeutics Inc","Health Care","Biotechnology","Biotechnology","NYS","$0.25","2,833,110"
"CYCC","Cyclacel Pharmaceuticals Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.25","1,450,420"
"AZTR","Azitra Inc","Health Care","Biotechnology","Biotechnology","NYS","$0.25","1,044,840"
"GNPX","Genprex Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.27","6,156,590"
"BDSX","Biodesix Inc","Health Care","Health Care Providers & Services","Health Care Services","NASDAQ","$0.27","1,147,700"
"RENB","Renovaro Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.28","2,548,180"
"CODX","Co-Diagnostics Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$0.29","388,090"
"LPTX","Leap Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.29","6,170,830"
"MRSN","Mersana Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.29","3,432,020"
"BIAF","bioAffinity Technologies Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.29","22,038,810"
"ASBP","Aspire Biopharma Holdings Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$0.29","6,547,820"
"UBX","UNITY Biotechnology Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.29","2,119,280"
"INTS","Intensity Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.30","1,905,340"
"ATHA","Athira Pharma Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$0.30","163,630"
"IGC","IGC Pharma Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NYS","$0.30","224,870"
"PSTV","Plus Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.31","116,042,050"
"EQ","Equillium Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.32","236,530"
"APLT","Applied Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.32","3,393,700"
"ADIL","Adial Pharmaceuticals Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$0.33","43,742,020"
"RLYB","Rallybio Corp","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.33","158,770"
"CGTX","Cognition Therapeutics Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$0.34","1,260,820"
"OVID","Ovid Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.34","2,157,680"
"GBIO","Generation Bio Co","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.34","1,660,270"
"MBRX","Moleculin Biotech Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.35","9,536,140"
"TSBX","Turnstone Biologics Corp","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.36","848,450"
"BCAB","Bioatla Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.38","478,480"
"ELEV","Elevation Oncology Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.38","1,370,380"
"RVPH","Reviva Pharmaceuticals Holdings Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$0.39","4,557,580"
"PRPH","Prophase Labs Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$0.40","1,368,300"
"ENTO","Entero Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.41","445,490"
"PASG","Passage Bio Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.41","422,750"
"COSM","Cosmos Health Inc","Health Care","Health Care Providers & Services","Health Care Distributors","NASDAQ","$0.42","148,740"
"CARM","Carisma Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.42","2,967,180"
"VXRT","Vaxart Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.43","2,485,860"
"MHUA","Meihua International Medical Technologies Co Ltd","Health Care","Health Care Equipment & Supplies","Health Care Supplies","NASDAQ","$0.43","60,480"
"NXTC","NextCure Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.44","147,640"
"PHGE","Biomx Inc","Health Care","Biotechnology","Biotechnology","NYS","$0.44","371,330"
"WORX","Scworx Corp","Health Care","Health Care Technology","Health Care Technology","NASDAQ","$0.44","233,390"
"TOVX","Theriva Biologics Inc","Health Care","Biotechnology","Biotechnology","NYS","$0.44","139,150"
"PMN","ProMIS Neurosciences Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.45","36,200"
"TLPH","Talphera Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$0.45","58,460"
"HBIO","Harvard Bioscience Inc","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","NASDAQ","$0.45","1,478,690"
"ALXO","ALX Oncology Holdings Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.46","835,140"
"GOVX","GeoVax Labs Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.48","4,203,840"
"OTRK","Ontrak Inc","Health Care","Health Care Providers & Services","Health Care Services","NASDAQ","$0.48","853,000"
"ACXP","Acurx Pharmaceuticals Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.49","2,661,790"
"SENS","Senseonics Holdings Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NYS","$0.50","8,712,420"
"SGMO","Sangamo Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.54","7,347,560"
"RANI","Rani Therapeutics Holdings Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$0.54","331,650"
"TLRY","Tilray Brands Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$0.54","26,739,560"
"IPSC","Century Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.56","1,215,400"
"ICU","SeaStar Medical Holding Corp","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$0.56","34,065,520"
"PROK","ProKidney Corp","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.58","--"
"PAVM","PAVmed Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$0.59","151,700"
"VERU","Veru Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$0.61","3,509,500"
"ACET","Adicet Bio Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.61","428,380"
"FBLG","Fibrobiologics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.61","716,970"
"TNYA","Tenaya Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.61","2,761,370"
"NBY","NovaBay Pharmaceuticals Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NYS","$0.63","18,850"
"SILO","Silo Pharma Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.63","285,420"
"ONMD","Onemednet Corp","Health Care","Health Care Technology","Health Care Technology","NASDAQ","$0.63","50,674,470"
"RLMD","Relmada Therapeutics Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$0.63","433,690"
"CNTX","Context Therapeutics Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$0.63","159,500"
"ZJYL","Jin Medical International Ltd","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$0.64","186,720"
"RVP","Retractable Technologies Inc","Health Care","Health Care Equipment & Supplies","Health Care Supplies","NYS","$0.65","33,510"
"KAPA","Kairos Pharma Ltd","Health Care","Biotechnology","Biotechnology","NYS","$0.65","849,330"
"IBO","Impact Biomedical Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NYS","$0.65","47,099,550"
"MTVA","MetaVia Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.66","72,410"
"DRRX","DURECT Corp","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$0.67","49,070"
"DRMA","Dermata Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.67","95,290"
"LFWD","Lifeward Ltd","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$0.67","2,663,010"
"MLSS","Milestone Scientific Inc","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NYS","$0.67","116,480"
"ZVSA","Zyversa Therapeutics Inc","Health Care","Biotechnology","Biotechnology","NASDAQ","$0.67","1,782,840"
"ASRT","Assertio Holdings Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$0.67","250,060"
"NMTC","NeuroOne Medical Technologies Corp","Health Care","Health Care Equipment & Supplies","Health Care Equipment","NASDAQ","$0.69","206,120"
"BFRI","Biofrontera Inc","Health Care","Pharmaceuticals","Pharmaceuticals","NASDAQ","$0.69","183,510"
