"Symbol","Description","Price","Exchange","Sector","Industry","Same Sub-Industry As","Average Volume (10 Day)"
"IXHL","Incannex Healthcare Inc","$0.44","NASDAQ","Health Care","Pharmaceuticals","Pharmaceuticals","259,762,010"
"TNFA","TNF Pharmaceuticals Inc","$0.10","NASDAQ","Health Care","Pharmaceuticals","Pharmaceuticals","123,545,270"
"TLRY","Tilray Brands Inc","$0.57","NASDAQ","Health Care","Pharmaceuticals","Pharmaceuticals","46,872,490"
"PMN","ProMIS Neurosciences Inc","$0.77","NASDAQ","Health Care","Biotechnology","Biotechnology","32,489,970"
"ABP","ABPRO Holdings Inc","$0.24","NASDAQ","Health Care","Biotechnology","Biotechnology","26,197,910"
"CLSD","Clearside Biomedical Inc","$0.38","NASDAQ","Health Care","Pharmaceuticals","Pharmaceuticals","25,289,270"
"PSTV","Plus Therapeutics Inc","$0.59","NASDAQ","Health Care","Biotechnology","Biotechnology","21,408,100"
"CLDI","Calidi Biotherapeutics Inc","$0.59","NYS","Health Care","Biotechnology","Biotechnology","20,828,670"
"PFSA","Profusa Inc","$0.60","NASDAQ","Health Care","Health Care Equipment & Supplies","Health Care Equipment","15,206,360"
"EQ","Equillium Inc","$0.56","NASDAQ","Health Care","Biotechnology","Biotechnology","14,713,420"
"SLRX","Salarius Pharmaceuticals Inc","$0.63","NASDAQ","Health Care","Biotechnology","Biotechnology","11,857,180"
"SGMO","Sangamo Therapeutics Inc","$0.56","NASDAQ","Health Care","Biotechnology","Biotechnology","8,183,620"
"INTS","Intensity Therapeutics Inc","$0.27","NASDAQ","Health Care","Biotechnology","Biotechnology","7,311,750"
"ADIL","Adial Pharmaceuticals Inc","$0.42","NASDAQ","Health Care","Pharmaceuticals","Pharmaceuticals","6,935,360"
"ICU","SeaStar Medical Holding Corp","$0.70","NASDAQ","Health Care","Health Care Equipment & Supplies","Health Care Equipment","6,569,090"
"WINT","Windtree Therapeutics Inc","$0.60","NASDAQ","Health Care","Biotechnology","Biotechnology","6,315,000"
"SENS","Senseonics Holdings Inc","$0.51","NYS","Health Care","Health Care Equipment & Supplies","Health Care Equipment","6,143,960"
"VYNE","Vyne Therapeutics Inc","$0.35","NASDAQ","Health Care","Pharmaceuticals","Pharmaceuticals","5,327,170"
"PTHL","Pheton Holdings Ltd","$0.81","NASDAQ","Health Care","Health Care Technology","Health Care Technology","4,700,500"
